807,975,1171.8
808,978,1172
808,978,1172
809.24,978.33,1172
810,978.74,1172
810,979,1172.7
810,979,1175
810,979.72,1175
810.04,979.8,1177
810.56,980,1177
810.88,980,1177.4
811,980,1177.65
811,980,1178
812,980,1178
812,980,1178.8
812,980.27,1179
812,981,1179
812,981,1179
813,981,1179
813,981,1179
813,981.5,1179
813,981.99,1179.2
813,982,1179.8
814,982,1179.8
814,982,1179.9
814,982,1180
814,982.8,1180
814,983,1180
814.9,983,1180
815,983,1180
815,983,1180
815,983.45,1180
815.93,983.5,1180
816,983.6,1180
816,983.68,1180.1
816,983.68,1180.1
816,983.86,1180.4
816,983.94,1181
816,983.99,1181
816,984,1181
816.43,984,1181.3
816.6,984,1181.4
816.69,984,1181.8
817,984,1181.9
817,984,1182
817,984,1182
817,984.25,1182
817,984.32,1182.1
817,984.33,1182.5
817,984.5,1182.6
817.05,984.6,1182.9
817.44,984.7,1183
817.44,984.74,1183
817.6,984.77,1183
817.7,984.95,1183
817.73,985,1183
818,985,1183
818,985,1183
818,985,1183
818.12,985,1183.3
818.15,985,1184
818.36,985.1,1184
818.58,985.17,1184
818.6,985.66,1184
818.65,985.66,1184
818.7,985.7,1184
818.8,985.71,1185
818.9,986,1185
819,986,1185
819,986,1185
819,986,1185
819,986,1185
819,986,1185.2
819,986,1185.4
819.01,986,1185.7
819.44,986,1185.9
819.45,986,1186
819.67,986.553,1186
819.82,986.6,1186
819.97,986.66,1186
820,986.7,1186
820,986.76,1186
820,986.95,1186
820,987,1186
820,987,1186
820,987,1186
820,987,1186.3
820,987,1186.5
820,987,1186.6
820.05,987,1186.8
820.07,987,1186.8
820.07,987,1186.9
820.12,987,1187
820.22,987,1187
820.28,987,1187
820.32,987,1187
820.32,987.06,1187
820.39,987.1,1187
820.46,987.27,1187
820.56,987.43,1187.6
820.56,987.67,1187.7
820.78,987.67,1187.7
821,987.7,1187.7
821,987.85,1187.9
821.3,987.89,1188
821.36,988,1188
821.374,988,1188
821.42,988,1188
821.43,988,1188
821.45,988,1188
821.51,988,1188
821.9,988.12,1188.3
822,988.18,1188.3
822,988.46,1188.9
822,988.49,1189
822.26,988.73,1189
822.39,988.73,1189
822.41,989,1189.2
822.42,989,1189.4
822.42,989,1189.5
822.45,989.43,1190
822.63,989.44,1190
822.66,989.54,1190
822.7,989.6,1190
822.7,989.7,1190
822.84,989.75,1190
822.9,989.96,1190
823,990,1190
823,990,1190
823,990,1190
823,990,1190.1
823,990,1190.2
823,990,1190.3
823,990,1190.4
823.09,990,1191
823.24,990,1191.1
823.28,990.4,1191.3
823.28,990.76,1191.38
823.4,990.85,1191.4
823.6,991,1191.5
823.72,991.06,1191.7
824,991.2,1191.9
824,991.29,1192
824,991.3,1193
824,991.58,1193
824.12,991.61,1193
824.16,992,1193
824.95,992,1193
825,992,1193.3
825,992,1193.7
825,992,1194
825,992.23,1194
825,992.3,1194
825,993,1194.4
825,993,1195
825,993,1195
825,993,1195
825,993,1195
825,994,1195
825.01,994,1195
825.22,994,1195
825.81,994,1196.1
825.84,994.3,1196.4
826,994.7,1196.7
826,994.89,1197
826,995,1197
826,995,1197
826.05,995,1197
827,995.52,1197
827,996,1197
827,996,1197.5
827,996,1198
827,996,1198
827.36,996.28,1198
827.38,997,1199
827.78,997,1200
828,997.3,1200
828,998.08,1200
828.1,998.87,1201
828.61,999,1203
828.8,999.85,1205